alarm_id,alarm_name,alarm_text,trigger_tag,trigger_bit,plc_source,word_address,trigger_address
2,Discrete_alarm_2,Filter blockage (PT02 over 5.5bar),HMI_Alarm_AlarmWord1,1,PLC_1_AK6,DB1.DBW5956,DB1.DBX5957.1
3,Discrete_alarm_3,Nozzle not moving sequence stopped in automatic,HMI_Alarm_AlarmWord1,2,PLC_1_AK6,DB1.DBW5956,DB1.DBX5957.2
4,Discrete_alarm_4,Emergency stop AK10,HMI_Alarm_AlarmWord1,3,PLC_1_AK6,DB1.DBW5956,DB1.DBX5957.3
5,Discrete_alarm_5,fault opening ball valve flow to Tricanter,HMI_Alarm_AlarmWord1,4,PLC_1_AK6,DB1.DBW5956,DB1.DBX5957.4
6,Discrete_alarm_6,fault closing ball valve flow to Tricanter,HMI_Alarm_AlarmWord1,5,PLC_1_AK6,DB1.DBW5956,DB1.DBX5957.5
7,Discrete_alarm_7,fault opening ball valve flow to Tricanter,HMI_Alarm_AlarmWord1,6,PLC_1_AK6,DB1.DBW5956,DB1.DBX5957.6
8,Discrete_alarm_8,fault closing ball valve flow to Tricanter,HMI_Alarm_AlarmWord1,7,PLC_1_AK6,DB1.DBW5956,DB1.DBX5957.7
9,Discrete_alarm_9,Fault solid waste pump,HMI_Alarm_AlarmWord2,0,PLC_1_AK6,DB1.DBW5958,DB1.DBX5959.0
10,Discrete_alarm_10,Fault solid waste pump relay not OK,HMI_Alarm_AlarmWord2,1,PLC_1_AK6,DB1.DBW5958,DB1.DBX5959.1
11,Discrete_alarm_11,Fault recovered oil pump,HMI_Alarm_AlarmWord2,2,PLC_1_AK6,DB1.DBW5958,DB1.DBX5959.2
12,Discrete_alarm_12,Fault recovered oil pump  relay not OK,HMI_Alarm_AlarmWord2,3,PLC_1_AK6,DB1.DBW5958,DB1.DBX5959.3
13,Discrete_alarm_13,Fault recovered water pump,HMI_Alarm_AlarmWord2,4,PLC_1_AK6,DB1.DBW5958,DB1.DBX5959.4
14,Discrete_alarm_14,Fault recovered water pump  relay not OK,HMI_Alarm_AlarmWord2,5,PLC_1_AK6,DB1.DBW5958,DB1.DBX5959.5
15,Discrete_alarm_15,Fault ventilation fan,HMI_Alarm_AlarmWord2,6,PLC_1_AK6,DB1.DBW5958,DB1.DBX5959.6
16,Discrete_alarm_16,Fault ventilation fan missing running feedback ,HMI_Alarm_AlarmWord2,7,PLC_1_AK6,DB1.DBW5958,DB1.DBX5959.7
17,Discrete_alarm_17,LEL in Tricanter container,HMI_Alarm_AlarmWord3,0,PLC_1_AK6,DB1.DBW5960,DB1.DBX5961.0
18,Discrete_alarm_18,H2S in Tricanter container,HMI_Alarm_AlarmWord3,1,PLC_1_AK6,DB1.DBW5960,DB1.DBX5961.1
19,Discrete_alarm_19,High lvl Recovered oil,HMI_Alarm_AlarmWord3,2,PLC_1_AK6,DB1.DBW5960,DB1.DBX5961.2
20,Discrete_alarm_20,High lvl Recovered Water,HMI_Alarm_AlarmWord3,3,PLC_1_AK6,DB1.DBW5960,DB1.DBX5961.3
21,Discrete_alarm_21,Lvl High in return tank > 30 sec,HMI_Alarm_AlarmWord3,4,PLC_1_AK6,DB1.DBW5960,DB1.DBX5961.4
22,Discrete_alarm_22,Lvl Low in return tank > 15 sec,HMI_Alarm_AlarmWord3,5,PLC_1_AK6,DB1.DBW5960,DB1.DBX5961.5
23,Discrete_alarm_23,High High lvl Recovered oil,HMI_Alarm_AlarmWord3,6,PLC_1_AK6,DB1.DBW5960,DB1.DBX5961.6
24,Discrete_alarm_24,High High lvl Recovered Water,HMI_Alarm_AlarmWord3,7,PLC_1_AK6,DB1.DBW5960,DB1.DBX5961.7
25,Discrete_alarm_25,Feedpump outlet max pressure over 9.5 bar,HMI_Alarm_AlarmWord4,0,PLC_1_AK6,DB1.DBW5962,DB1.DBX5963.0
26,Discrete_alarm_26,Feedpump inlet max pressure under 0.1 bar,HMI_Alarm_AlarmWord4,1,PLC_1_AK6,DB1.DBW5962,DB1.DBX5963.1
